Cod	Secc	Curso	Tipo	Horario	Aula	Docente
CM3G2	A	ECUACIONES DIFERENCIALES ORDINARIAS I	TEORIA	LU 14-16	R1-401	ESCALANTE DEL ÁGUILA, SEGUNDO FÉLIX
CM3G2	A	ECUACIONES DIFERENCIALES ORDINARIAS I	TEORIA	MI 14-16	J3-162B	ESCALANTE DEL ÁGUILA, SEGUNDO FÉLIX
CM3G2	A	ECUACIONES DIFERENCIALES ORDINARIAS I	PRACTICA	VI 14-16	J3-182B	CHULLUNCUY CENTENO, ANDRES VICENTE
CM3I1	A	TEORIA LOCAL DE SUPERFICIES	TEORIA	LU 8-10	R1-421	QUIÑONES ROBLES, MARCO ERNESTO
CM3I1	A	TEORIA LOCAL DE SUPERFICIES	TEORIA	MI 8-10	R1-421	QUIÑONES ROBLES, MARCO ERNESTO
CM3I1	A	TEORIA LOCAL DE SUPERFICIES	PRACTICA	VI 8-10	J3-152	QUIÑONES ROBLES, MARCO ERNESTO
CM3I2	A	TOPOLOGIA	TEORIA	MA 14-16	R1-421	VILLAVICENCIO FERNANDEZ, HELMUTH
CM3I2	A	TOPOLOGIA	TEORIA	JU 14-16	R1-421	VILLAVICENCIO FERNANDEZ, HELMUTH
CM3I2	A	TOPOLOGIA	PRACTICA	LU 16-18	R1-450	SALINAS ZAVALA, CHRISTOPER JESUS
CM4C1	A	ANALISIS FUNCIONAL I	TEORIA	LU 8-10	R1-440	OCAÑA ANAYA, ELADIO TEÓFILO
