Cod	Secc	Curso	Tipo	Horario	Aula	Docente
CF4E1	A	LABORATORIO DE FISICA INTERMEDIA	TEORIA	MA 8-9	LAB FI	PUJADA BERMUDEZ, BRAULIO RAFAEL
CF4E1	A	LABORATORIO DE FISICA INTERMEDIA	LABORATORIO	MA 9-12	LAB FI	PUJADA BERMUDEZ, BRAULIO RAFAEL
CF4E1	A	LABORATORIO DE FISICA INTERMEDIA	LABORATORIO	JU 8-12	LAB FI	PUJADA BERMUDEZ, BRAULIO RAFAEL
CF4E1	B	LABORATORIO DE FISICA INTERMEDIA	TEORIA	MI 8-9	LAB FI	EYZAGUIRRE GORVENIA, CARMEN ROSA
CF4E1	B	LABORATORIO DE FISICA INTERMEDIA	LABORATORIO	MI 9-12	LAB FI	EYZAGUIRRE GORVENIA, CARMEN ROSA
CF4E1	B	LABORATORIO DE FISICA INTERMEDIA	LABORATORIO	VI 8-12	LAB FI	EYZAGUIRRE GORVENIA, CARMEN ROSA
CF4E2	A	LABORATORIO DE FISICA AVANZADA	TEORIA	LU 8-10	LAB FA	VALERA PALACIOS, ANIBAL ABEL
CF4E2	A	LABORATORIO DE FISICA AVANZADA	LABORATORIO	LU 10-12	LAB FA	VALERA PALACIOS, ANIBAL ABEL
CF4E2	A	LABORATORIO DE FISICA AVANZADA	LABORATORIO	MI 8-12	LAB FA	VALERA PALACIOS, ANIBAL ABEL
CF4E2	B	LABORATORIO DE FISICA AVANZADA	TEORIA	LU 8-10	LAB FA	PUGA CORREA, RUBÉN CIRO
CF4E2	B	LABORATORIO DE FISICA AVANZADA	LABORATORIO	LU 10-12	LAB FA	PUGA CORREA, RUBÉN CIRO
CF4E2	B	LABORATORIO DE FISICA AVANZADA	LABORATORIO	MI 10-14	LAB FA	PUGA CORREA, RUBÉN CIRO
CF4F1	A	TERMODINAMICA Y MECANICA ESTADISTICA	TEORIA	LU 8-10	R3-123C	SOTO BARRIENTOS, DANIEL EDUARDO
CF4F1	A	TERMODINAMICA Y MECANICA ESTADISTICA	TEORIA	MI 8-10	R3-123C	SOTO BARRIENTOS, DANIEL EDUARDO
CF4F1	A	TERMODINAMICA Y MECANICA ESTADISTICA	TEORIA	VI 8-10	R3-123C	SOTO BARRIENTOS, DANIEL EDUARDO
CF4F1	A	TERMODINAMICA Y MECANICA ESTADISTICA	PRACTICA	MA 14-18	R3-209	ZEGARRA BORRERO, ANTONIO FEDERICO
CF4F2	A	FISICA ATOMICA Y MOLECULAR	TEORIA	LU 16-18	J3-162A	BELTRÁN RAMÍREZ, JHOSEP VICTORINO
